,Title,Area,Period,URL
121,(2021 부산금정) 뮤지컬 루돌프와 산타클로스,부산시,2021.12.24 ~ 2021.12.26,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21009966
122,창작뮤지컬 〈메이사의 노래〉 - 부산,부산시,2021.12.24 ~ 2021.12.25,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011333
123,(청주) 2021 가족뮤지컬 “빨간코 루돌프와 산타크로스”,충북,2021.12.24 ~ 2021.12.25,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011403
124,2021년 특선가족뮤지컬 “겨울이야기” - 군산,전북,2021.12.24 ~ 2021.12.24,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21007535
125,인문학콘서트 〈당신이 모르는 뮤지컬 이야기〉Ⅱ - 용인,경기,2021.12.22 ~ 2021.12.22,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011265
126,뮤지컬 세종대왕의 눈물,서울,2021.12.22 ~ 2021.12.22,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21009627
127,가족뮤지컬 호두까기인형 (대구),대구시,2021.12.21 ~ 2021.12.26,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21009981
128,김소현＆손준호의 송년음악회 〈러브앤뮤지컬〉 - 평택,경기,2021.12.21 ~ 2021.12.21,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010323
129,“2021년” 가족뮤지컬 겨울이야기 - 안동,경북,2021.12.19 ~ 2021.12.19,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011553
130,［2021］판타지가족뮤지컬 “겨울이야기” 시즌2 - 목포,전남,2021.12.19 ~ 2021.12.19,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011846
131,2021년 특선가족뮤지컬 “호두까기인형” - 광양,전남,2021.12.19 ~ 2021.12.19,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011692
132,가족뮤지컬 겨울이야기 (여수),전남,2021.12.19 ~ 2021.12.19,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010832
133,가족뮤지컬 호두까기인형 (전주),전북,2021.12.19 ~ 2021.12.19,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010819
134,2021겨울판타지뮤지컬 ‘호두까기 인형’,서울,2021.12.18 ~ 2022.01.02,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010866
135,감정코칭뮤지컬 앤서니브라운의 겁쟁이빌리,서울,2021.12.18 ~ 2021.12.31,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=P0002802
136,어린이 액션뮤지컬 〈레이디버그〉 - 서울,서울,2021.12.18 ~ 2021.12.19,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21009266
137,［대구］싱어롱 콘서트 뮤지컬 ‘Live Show’ 〈무지개 물고기〉,대구시,2021.12.18 ~ 2021.12.19,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010789
138,2021 가족뮤지컬 〈호두까기인형〉,서울,2021.12.18 ~ 2021.12.19,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011981
139,［판타지액션 어린이뮤지컬］더퀸_선덕여왕의 귀환 - 안산,경기,2021.12.18 ~ 2021.12.19,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010489
140,2021년 성탄절 특선가족뮤지컬 “ 호두까기인형 ” - 익산,전북,2021.12.18 ~ 2021.12.19,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21008406
141,(2021 고양) 뮤지컬 루돌프와 산타클로스,경기,2021.12.18 ~ 2021.12.19,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010052
142,어린이뮤지컬 “ 렛잇고2 ” - 삼척,강원,2021.12.18 ~ 2021.12.19,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011415
143,2021 뮤지컬갈라 송년콘서트 In오산,경기,2021.12.18 ~ 2021.12.18,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011409
144,2021 가족라이브 뮤지컬 〈겨울이야기〉－서울,서울,2021.12.18 ~ 2021.12.18,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21008428
145,(강북)2021 가족뮤지컬 “ 겨울이야기 ”,서울,2021.12.18 ~ 2021.12.18,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010766
