,Title,Genre,Place,Time,Age,Period,TicketCast,Like_man,Like_woman,Like_age_10,Like_age_20,Like_age_30,Like_age_40,Like_age_50,URL,Status
6772,달달한 음악으로의 초대 with 뮤지컬 배우 최정원x루이스초이x김순영x최수형 콘서트,클래식/오페라,경기도문화의전당 대극장(자세히),2016.12.28,만 7세이상,2016.12.28,2,15.3%,84.7%,2%,27.6%,34.7%,21.4%,13.3%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16013497,판매종료
6773,가족뮤지컬 〈어린이 캣＇s〉,뮤지컬,스카이씨어터 2관(구. JK아트홀)(자세히),2016.12.27 ~오픈런,24개월이상 관람가능,2016.12.27 ~오픈런,3,24.5%,75.5%,0%,2%,49%,46.9%,2%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16015660,판매종료
6774,어린이성교육뮤지컬〈엄마는 안가르쳐줘〉,뮤지컬,샘터파랑새극장 1관(자세히),2016.12.27 ~2017.03.28,24개월이상 관람가능,2016.12.27 ~2017.03.28,,26.1%,73.9%,0%,0%,69.6%,30.4%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16015387,판매종료
6775,뮤지컬 살다보면 - 부산,뮤지컬,동아대학교 부민캠퍼스 다우홀(자세히),2016.12.26,전체관람가,2016.12.26,,0%,100%,0%,0%,0%,0%,100%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16015329,판매종료
6776,가족뮤지컬 “빨간코 루돌프와 산타크로스” - 군산,뮤지컬,군산예술의전당 소공연장(자세히),2016.12.25,24개월이상 관람가능,2016.12.25,,24.4%,75.6%,0%,6.1%,73.2%,19.5%,1.2%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16013111,판매종료
6777,어린이퍼포먼스뮤지컬 ［트랜스포머］,뮤지컬,명보아트홀 가온홀(자세히),2016.12.24 ~2017.02.19,24개월이상 관람가능,2016.12.24 ~2017.02.19,,0%,100%,0%,0%,75%,25%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16015595,판매종료
6778,판타지홀로그램 뮤지컬 요괴워치!,뮤지컬,이화여자대학교 삼성홀(자세히),2016.12.24 ~2017.02.12,24개월이상 관람가능,2016.12.24 ~2017.02.12,4,30.1%,69.9%,0.6%,2.8%,65.5%,28.8%,1.6%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16014010,판매종료
6779,뮤지컬 스타라이트(Starlight),뮤지컬,대학로 도향아트홀(자세히),2016.12.24 ~2017.01.22,만 15세이상,2016.12.24 ~2017.01.22,,55.6%,44.4%,0%,11.1%,22.2%,22.2%,33.3%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16014932,판매종료
6780,패밀리쇼! 뮤지컬〈캐리와 장난감 친구들〉- 성남,뮤지컬,성남아트센터 오페라하우스(자세히),2016.12.24 ~2016.12.25,24개월이상 관람가능,2016.12.24 ~2016.12.25,14,30.6%,69.4%,0.1%,4.5%,77.6%,16.7%,0.7%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16010533,판매종료
6781,뮤지컬 헬로카봇 시즌2 〈카봇구조대〉 - 크리스마스 창원,뮤지컬,창원 성산아트홀 대극장(자세히),2016.12.24 ~2016.12.25,24개월이상 관람가능,2016.12.24 ~2016.12.25,5,25.7%,74.3%,0.2%,7.9%,82.3%,8.3%,1.2%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16012951,판매종료
6782,가족뮤지컬〈레이디버그〉- 대구,뮤지컬,대구아양아트센터(자세히),2016.12.24 ~2016.12.25,전체관람가,2016.12.24 ~2016.12.25,5,26.3%,73.7%,0.2%,3.1%,80.9%,15%,0.6%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16012839,판매종료
6783,가족뮤지컬〈뽀로로와 노래해요〉 - 대전,뮤지컬,한밭대문화예술회관(자세히),2016.12.24 ~2016.12.25,전체관람가,2016.12.24 ~2016.12.25,4,32%,68%,0%,9.7%,80.8%,7.2%,1.5%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16012134,판매종료
6784,어린이뮤지컬 ＇피터팬＇- 전주,뮤지컬,한국소리문화의전당 모악당(자세히),2016.12.24 ~2016.12.25,24개월이상 관람가능,2016.12.24 ~2016.12.25,2,29.3%,70.7%,0.4%,3.3%,71.8%,21.9%,1.1%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16014326,판매종료
6785,뮤지컬 〈로기수〉 - 원주,뮤지컬,원주 백운아트홀(자세히),2016.12.24 ~2016.12.25,만 13세이상,2016.12.24 ~2016.12.25,2,19%,81%,9%,35%,36.5%,14%,5.5%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16013516,판매종료
6786,가족뮤지컬 〈리틀동키〉 - 수원,뮤지컬,경기아트센터 소극장(자세히),2016.12.24 ~2016.12.25,24개월이상 관람가능,2016.12.24 ~2016.12.25,1,17.2%,82.8%,0%,6.9%,65.5%,20.7%,3.4%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16013921,판매종료
6787,오페레타 뮤지컬〈판타지아〉- 고양,뮤지컬,고양아람누리 아람극장(자세히),2016.12.24 ~2016.12.25,36개월이상 관람가능,2016.12.24 ~2016.12.25,1,37.9%,62.1%,0%,0.8%,58.3%,37.9%,3%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16013346,판매종료
6788,크리스마스 가족뮤지컬 “호두까기 인형” - 천안,뮤지컬,"천안시 신부문화회관 대강당(구,시민회관)(자세히)",2016.12.24 ~2016.12.25,전체관람가,2016.12.24 ~2016.12.25,1,28.8%,71.2%,1%,9.6%,73.1%,15.4%,1%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16014603,판매종료
6789,프린세스 공주 뮤지컬쇼,뮤지컬,도봉구민회관 대공연장(자세히),2016.12.24 ~2016.12.25,전체관람가,2016.12.24 ~2016.12.25,,19.2%,80.8%,0%,4.5%,75.1%,17.6%,1.2%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16012897,판매종료
6790,가족뮤지컬 “겨울왕국 콘서트” - 안산,뮤지컬,안산문화예술의전당 달맞이극장(자세히),2016.12.24 ~2016.12.25,24개월이상 관람가능,2016.12.24 ~2016.12.25,,22.4%,77.6%,0%,5.6%,82.5%,11.2%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16011407,판매종료
6791,(2016 어린이율동놀이뮤지컬) 호비쇼 - 용인,뮤지컬,용인시 여성회관 큰어울마당(자세히),2016.12.24 ~2016.12.25,전체관람가,2016.12.24 ~2016.12.25,,25.1%,74.9%,0%,8.7%,86.6%,4.3%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16009470,판매종료
